time;GAST;deltaT;deltaTabs
-539000000;25.64412785;NA;NA
-538000000;25.249753;-0.394374847;0.394374847
-537000000;24.85380745;-0.395945549;0.395945549
-536000000;24.45539761;-0.398409843;0.398409843
-535000000;24.06853962;-0.386857986;0.386857986
-534000000;23.81394196;-0.254597664;0.254597664
-533000000;23.57148361;-0.242458344;0.242458344
-532000000;23.32781601;-0.243667603;0.243667603
-531000000;23.082057;-0.24575901;0.24575901
-530000000;22.85211277;-0.229944229;0.229944229
-529000000;22.79003811;-0.062074661;0.062074661
-528000000;22.74424362;-0.045794487;0.045794487
-527000000;22.69601822;-0.048225403;0.048225403
-526000000;22.64612961;-0.049888611;0.049888611
-525000000;22.58227539;-0.063854218;0.063854218
-524000000;22.38829041;-0.193984985;0.193984985
-523000000;22.18023777;-0.208052635;0.208052635
-522000000;21.96992683;-0.210310936;0.210310936
-521000000;21.75790691;-0.21201992;0.21201992
-520000000;21.57007217;-0.18783474;0.18783474
-519000000;21.63833141;0.068259239;0.068259239
-518000000;21.73093414;0.09260273;0.09260273
-517000000;21.82171822;0.090784073;0.090784073
-516000000;21.91109657;0.089378357;0.089378357
-515000000;22.00466824;0.093571663;0.093571663
-514000000;22.15798759;0.153319359;0.153319359
-513000000;22.31544209;0.157454491;0.157454491
-512000000;22.47145176;0.156009674;0.156009674
-511000000;22.62595463;0.154502869;0.154502869
-510000000;22.75217533;0.126220703;0.126220703
-509000000;22.61306667;-0.139108658;0.139108658
-508000000;22.44554615;-0.167520523;0.167520523
-507000000;22.27642822;-0.169117928;0.169117928
-506000000;22.10564709;-0.170781136;0.170781136
-505000000;21.93450928;-0.17113781;0.17113781
-504000000;21.77080822;-0.163701057;0.163701057
-503000000;21.60573006;-0.165078163;0.165078163
-502000000;21.43948555;-0.166244507;0.166244507
-501000000;21.27153206;-0.167953491;0.167953491
-500000000;21.10515594;-0.166376114;0.166376114
-499000000;20.97735596;-0.127799988;0.127799988
-498000000;20.85068607;-0.126669884;0.126669884
-497000000;20.72196007;-0.128726006;0.128726006
-496000000;20.59025097;-0.131709099;0.131709099
-495000000;20.4835043;-0.106746674;0.106746674
-494000000;20.65684509;0.173340797;0.173340797
-493000000;20.85501099;0.198165894;0.198165894
-492000000;21.05037975;0.195368767;0.195368767
-491000000;21.24351311;0.193133354;0.193133354
-490000000;21.40663147;0.163118362;0.163118362
-489000000;21.29930401;-0.107327461;0.107327461
-488000000;21.16214657;-0.13715744;0.13715744
-487000000;21.02291107;-0.139235497;0.139235497
-486000000;20.88147163;-0.141439438;0.141439438
-485000000;20.73401928;-0.147452354;0.147452354
-484000000;20.56304646;-0.170972824;0.170972824
-483000000;20.38785172;-0.17519474;0.17519474
-482000000;20.21050453;-0.177347183;0.177347183
-481000000;20.03030014;-0.180204391;0.180204391
-480000000;19.85181236;-0.178487778;0.178487778
-479000000;19.74577999;-0.106032372;0.106032372
-478000000;19.64338398;-0.102396011;0.102396011
-477000000;19.53808308;-0.105300903;0.105300903
-476000000;19.42939854;-0.10868454;0.10868454
-475000000;19.30849743;-0.120901108;0.120901108
-474000000;19.11474705;-0.193750381;0.193750381
-473000000;18.91077518;-0.203971863;0.203971863
-472000000;18.70401573;-0.206759453;0.206759453
-471000000;18.49454403;-0.209471703;0.209471703
-470000000;18.30050278;-0.194041252;0.194041252
-469000000;18.3088932;0.008390427;0.008390427
-468000000;18.33392239;0.025029182;0.025029182
-467000000;18.3567524;0.022830009;0.022830009
-466000000;18.376544;0.019791603;0.019791603
-465000000;18.3836565;0.007112503;0.007112503
-464000000;18.30857849;-0.075078011;0.075078011
-463000000;18.22221947;-0.086359024;0.086359024
-462000000;18.13324738;-0.088972092;0.088972092
-461000000;18.040555;-0.092692375;0.092692375
-460000000;17.91944122;-0.121113777;0.121113777
-459000000;17.55746174;-0.361979485;0.361979485
-458000000;17.16687012;-0.390591621;0.390591621
-457000000;16.7733202;-0.393549919;0.393549919
-456000000;16.37652588;-0.396794319;0.396794319
-455000000;15.99188519;-0.384640694;0.384640694
-454000000;15.79943371;-0.192451477;0.192451477
-453000000;15.62208843;-0.177345276;0.177345276
-452000000;15.44175053;-0.180337906;0.180337906
-451000000;15.25765085;-0.184099674;0.184099674
-450000000;15.01769066;-0.239960194;0.239960194
-449000000;14.28438425;-0.733306408;0.733306408
-448000000;13.4971199;-0.787264347;0.787264347
-447000000;12.7064352;-0.7906847;0.7906847
-446000000;11.91239071;-0.794044495;0.794044495
-445000000;11.26061106;-0.651779652;0.651779652
-444000000;12.09499073;0.834379673;0.834379673
-443000000;13.07326365;0.978272915;0.978272915
-442000000;14.04844046;0.975176811;0.975176811
-441000000;15.02052021;0.972079754;0.972079754
-440000000;15.9490447;0.928524494;0.928524494
-439000000;16.5072031;0.558158398;0.558158398
-438000000;17.01954556;0.512342453;0.512342453
-437000000;17.52568436;0.506138802;0.506138802
-436000000;18.02289391;0.497209549;0.497209549
-435000000;18.42949963;0.406605721;0.406605721
-434000000;18.07503796;-0.35446167;0.35446167
-433000000;17.63403606;-0.441001892;0.441001892
-432000000;17.18532181;-0.448714256;0.448714256
-431000000;16.72690392;-0.458417892;0.458417892
-430000000;16.33537769;-0.391526222;0.391526222
-429000000;16.75708294;0.421705246;0.421705246
-428000000;17.25642967;0.499346733;0.499346733
-427000000;17.75089264;0.494462967;0.494462967
-426000000;18.23973846;0.488845825;0.488845825
-425000000;18.70577908;0.466040611;0.466040611
-424000000;19.03546333;0.329684258;0.329684258
-423000000;19.34605503;0.310591698;0.310591698
-422000000;19.65155125;0.305496216;0.305496216
-421000000;19.95161629;0.300065041;0.300065041
-420000000;20.24883652;0.29722023;0.29722023
-419000000;20.57322693;0.324390411;0.324390411
-418000000;20.89522839;0.322001457;0.322001457
-417000000;21.21294308;0.317714691;0.317714691
-416000000;21.52443981;0.311496735;0.311496735
-415000000;21.76832485;0.24388504;0.24388504
-414000000;21.42187977;-0.346445084;0.346445084
-413000000;21.01213264;-0.409747124;0.409747124
-412000000;20.59810925;-0.414023399;0.414023399
-411000000;20.17676544;-0.421343803;0.421343803
-410000000;19.80337429;-0.373391151;0.373391151
-409000000;19.99818707;0.194812775;0.194812775
-408000000;20.24544239;0.247255325;0.247255325
-407000000;20.48759365;0.24215126;0.24215126
-406000000;20.72127438;0.233680725;0.233680725
-405000000;20.8767128;0.155438423;0.155438423
-404000000;20.33775234;-0.538960457;0.538960457
-403000000;19.72374725;-0.614005089;0.614005089
-402000000;19.10350704;-0.620240211;0.620240211
-401000000;18.47356129;-0.629945755;0.629945755
-400000000;17.88837337;-0.585187912;0.585187912
-399000000;17.85657692;-0.031796455;0.031796455
-398000000;17.87426567;0.017688751;0.017688751
-397000000;17.89196873;0.017703056;0.017703056
-396000000;17.90935993;0.017391205;0.017391205
-395000000;17.95364094;0.044281006;0.044281006
-394000000;18.26157188;0.307930946;0.307930946
-393000000;18.59558296;0.334011078;0.334011078
-392000000;18.929039;0.333456039;0.333456039
-391000000;19.26229382;0.333254814;0.333254814
-390000000;19.60513401;0.342840195;0.342840195
-389000000;20.0548172;0.449683189;0.449683189
-388000000;20.51499939;0.46018219;0.46018219
-387000000;20.97477531;0.459775925;0.459775925
-386000000;21.43302441;0.458249092;0.458249092
-385000000;21.80148983;0.368465424;0.368465424
-384000000;21.26831818;-0.533171654;0.533171654
-383000000;20.64437389;-0.623944283;0.623944283
-382000000;20.02147484;-0.622899055;0.622899055
-381000000;19.39681721;-0.624657631;0.624657631
-380000000;18.90786648;-0.488950729;0.488950729
-379000000;19.75586033;0.847993851;0.847993851
-378000000;20.73661995;0.980759621;0.980759621
-377000000;21.71880913;0.982189178;0.982189178
