time;fSR_hybrid;fSR_zircon
570;1.66;1.66
560;1.73;1.73
550;1.75;1.75
540;1.67;1.67
530;1.77;1.77
520;1.8;1.8
510;1.78;1.78
500;1.72;1.72
490;1.58;1.58
480;1.69;1.69
470;1.48;1.48
460;1.44;1.44
450;1.42;1.42
440;1.37;1.37
430;1.32;1.32
420;1.3;1.3
410;1.3;1.3
400;1.3;1.3
390;1.32;1.32
380;1.39;1.39
370;1.62;1.62
360;1.9;1.9
350;2.06;2.06
340;2.01;1.79
330;1.8;1.62
320;1.53;1.37
310;1.33;1.33
300;1.37;1.3
290;1.54;1.32
280;1.42;1.44
270;1.54;1.48
260;1.59;1.58
250;1.18;1.58
240;1.29;1.45
230;1.13;1.39
220;1.15;1.34
210;1.18;1.35
200;1.15;1.35
190;1.01;1.47
180;1.16;1.66
170;1.28;2
160;1.4;2.07
150;1.57;1.99
140;1.89;1.77
130;2.43;1.71
120;1.94;2.43
110;1.82;1.94
100;1.63;1.76
90;1.69;1.39
80;1.46;1.27
70;1.6;1.21
60;1.58;1.28
50;1.26;1.1
40;1.22;1.05
30;1.37;1.08
20;1.17;1.07
10;1.09;1
0;1;1
